county_name,sample_date,parameter,result,reporting_limit,units
Alameda,08/31/1977 13:00,Total Hardness,158,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 13:00,Total Hardness,859,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 13:30,Total Hardness,431,1.00000000,mg/L as CaCO3
Alameda,07/23/1975 10:40,Total Hardness,496,1.00000000,mg/L as CaCO3
Alameda,08/08/1977 11:00,Total Hardness,519,1.00000000,mg/L as CaCO3
Alameda,08/09/1971 09:45,Total Hardness,574,1.00000000,mg/L as CaCO3
Alameda,08/20/1973 09:50,Total Hardness,508,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 16:00,Total Hardness,342,1.00000000,mg/L as CaCO3
Alameda,07/22/1974 13:45,Total Hardness,214,1.00000000,mg/L as CaCO3
Alameda,08/08/1972 12:30,Total Hardness,219,1.00000000,mg/L as CaCO3
Alameda,08/12/1976 10:20,Total Hardness,216,1.00000000,mg/L as CaCO3
Alameda,08/18/1978 12:00,Total Hardness,209,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 14:10,Total Hardness,1211,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 14:30,Total Hardness,392,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 14:30,Total Hardness,418,1.00000000,mg/L as CaCO3
Alameda,08/08/1972 12:20,Total Hardness,482,1.00000000,mg/L as CaCO3
Alameda,07/22/1974 13:20,Total Hardness,535,1.00000000,mg/L as CaCO3
Alameda,08/12/1976 09:50,Total Hardness,724,1.00000000,mg/L as CaCO3
Alameda,08/18/1978 11:00,Total Hardness,500,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 14:15,Total Hardness,394,1.00000000,mg/L as CaCO3
Alameda,08/18/1978 13:00,Total Hardness,430,1.00000000,mg/L as CaCO3
Alameda,10/12/1976 09:30,Total Hardness,436,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 00:00,Total Hardness,306,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 15:15,Total Hardness,650,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 15:45,Total Hardness,548,1.00000000,mg/L as CaCO3
Alameda,08/05/1974 09:40,Total Hardness,470,1.00000000,mg/L as CaCO3
Alameda,08/08/1972 10:50,Total Hardness,491,1.00000000,mg/L as CaCO3
Alameda,08/18/1978 13:30,Total Hardness,316,1.00000000,mg/L as CaCO3
Alameda,07/11/1975 11:30,Total Hardness,269,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 15:00,Total Hardness,368,1.00000000,mg/L as CaCO3
Alameda,08/09/1971 10:05,Total Hardness,389,1.00000000,mg/L as CaCO3
Alameda,08/18/1977 10:00,Total Hardness,338,1.00000000,mg/L as CaCO3
Alameda,08/20/1973 10:10,Total Hardness,338,1.00000000,mg/L as CaCO3
Alameda,07/30/1974 09:20,Total Hardness,572,1.00000000,mg/L as CaCO3
Alameda,08/12/1976 12:45,Total Hardness,542,1.00000000,mg/L as CaCO3
Alameda,08/18/1978 14:00,Total Hardness,530,1.00000000,mg/L as CaCO3
Alameda,07/22/1974 15:45,Total Hardness,390,1.00000000,mg/L as CaCO3
Alameda,08/08/1972 13:15,Total Hardness,360,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 15:10,Total Hardness,234,1.00000000,mg/L as CaCO3
Alameda,07/23/1975 11:00,Total Hardness,247,1.00000000,mg/L as CaCO3
Alameda,08/05/1977 10:00,Total Hardness,256,1.00000000,mg/L as CaCO3
Alameda,08/20/1973 10:30,Total Hardness,239,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 14:45,Total Hardness,188,1.00000000,mg/L as CaCO3
Alameda,08/09/1971 13:45,Total Hardness,177,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 12:30,Total Hardness,274,1.00000000,mg/L as CaCO3
Alameda,07/23/1975 13:10,Total Hardness,266,1.00000000,mg/L as CaCO3
Alameda,08/02/1977 14:00,Total Hardness,316,1.00000000,mg/L as CaCO3
Alameda,08/20/1973 13:45,Total Hardness,262,1.00000000,mg/L as CaCO3
Alameda,07/17/1974 12:25,Total Hardness,276,1.00000000,mg/L as CaCO3
Alameda,08/08/1972 12:05,Total Hardness,270,1.00000000,mg/L as CaCO3
Alameda,08/12/1976 12:00,Total Hardness,274,1.00000000,mg/L as CaCO3
Alameda,08/18/1978 10:00,Total Hardness,294,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 14:30,Total Hardness,283,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 00:00,Total Hardness,281,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 15:00,Total Hardness,393,1.00000000,mg/L as CaCO3
Alameda,07/30/1974 09:55,Total Hardness,368,1.00000000,mg/L as CaCO3
Alameda,08/12/1976 13:10,Total Hardness,366,1.00000000,mg/L as CaCO3
Alameda,08/22/1978 10:00,Total Hardness,365,1.00000000,mg/L as CaCO3
Alameda,07/18/1967 14:30,Total Hardness,231,1.00000000,mg/L as CaCO3
Alameda,02/12/1975 00:00,Total Hardness,130,1.00000000,mg/L as CaCO3
Alameda,03/05/1980 11:00,Total Hardness,112,1.00000000,mg/L as CaCO3
Alameda,03/11/1976 00:00,Total Hardness,116,1.00000000,mg/L as CaCO3
Alameda,03/20/1974 00:00,Total Hardness,116,1.00000000,mg/L as CaCO3
Alameda,04/05/1977 00:00,Total Hardness,118,1.00000000,mg/L as CaCO3
Alameda,04/19/1982 13:39,Total Hardness,324,1.00000000,mg/L as CaCO3
Alameda,04/22/1986 13:35,Total Hardness,118,1.00000000,mg/L as CaCO3
Alameda,07/17/1984 11:30,Total Hardness,106,1.00000000,mg/L as CaCO3
Alameda,08/31/1977 12:00,Total Hardness,387,1.00000000,mg/L as CaCO3
Alameda,01/12/1976 00:00,Total Hardness,382,1.00000000,mg/L as CaCO3
Alameda,05/01/1975 00:00,Total Hardness,350,1.00000000,mg/L as CaCO3
Alameda,05/07/1974 00:00,Total Hardness,354,1.00000000,mg/L as CaCO3
Alameda,06/03/1988 12:20,Total Hardness,396,1.00000000,mg/L as CaCO3
Alameda,06/30/1986 13:20,Total Hardness,428,1.00000000,mg/L as CaCO3
